124TH AVE NE & NE 90TH ST, http://www.latlong.net/c/?lat=47.682819&long=-122.176003
DELRIDGE WAY SW & SW TRENTON ST, http://www.latlong.net/c/?lat=47.524694&long=-122.360460
YESLER WAY & 8TH AVE, http://www.latlong.net/c/?lat=47.601712&long=-122.322450
SE 320TH ST & 116TH AVE SE, http://www.latlong.net/c/?lat=47.539979&long=-122.185630
140TH AVE NE & NE 60TH ST, http://www.latlong.net/c/?lat=47.672147&long=-122.290803
FACTORIA BLVD SE & SE 38TH ST, http://www.latlong.net/c/?lat=47.652604&long=-122.346609
NE 8TH ST & 164TH AVE NE, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
E MADISON ST & 14TH AVE, http://www.latlong.net/c/?lat=47.613897&long=-122.314225
26TH AVE S & S NORMAN ST, http://www.latlong.net/c/?lat=47.592948&long=-122.299066
18TH AVE & MARKET ST, http://www.latlong.net/c/?lat=47.689667&long=-122.209994
NE 104TH ST & 179TH AVE NE, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
S GENESEE ST & CASCADIA AVE S, http://www.latlong.net/c/?lat=47.564144&long=-122.282804
CALIFORNIA AVE SW & SW OTHELLO ST, http://www.latlong.net/c/?lat=47.538558&long=-122.387287
SE 268TH ST & 164TH AVE SE, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
SE 272ND ST & 204TH AVE SE, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
WOODINVILLE DR & KAYSNER WAY, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
4TH AVE SW & SW 114TH ST, http://www.latlong.net/c/?lat=47.501247&long=-122.339039
1ST AVE S & S 356TH ST, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
53RD AVE S & KLICKITAT DR, http://www.latlong.net/c/?lat=47.461256&long=-122.267845
AVONDALE WAY NE & NE REDMOND WAY, http://www.latlong.net/c/?lat=47.672107&long=-122.115188
108TH AVE NE & NE 58TH ST, http://www.latlong.net/c/?lat=47.659385&long=-122.196211
BELLEVUE WAY NE & NE 12TH ST, http://www.latlong.net/c/?lat=47.620655&long=-122.201790
SYLVAN WAY SW & SW SYLVAN HEIGHTS DR, http://www.latlong.net/c/?lat=47.540342&long=-122.368865
148TH AVE NE & NE 16TH ST, http://www.latlong.net/c/?lat=47.864305&long=-122.210519
NE RAVENNA BLVD & 21ST AVE NE, http://www.latlong.net/c/?lat=47.669336&long=-122.305461
5TH AVE S & S KENYON ST, http://www.latlong.net/c/?lat=47.531961&long=-122.330927
34TH AVE & E PIKE ST, http://www.latlong.net/c/?lat=47.614052&long=-122.289252
1ST AVE N & MERCER ST, http://www.latlong.net/c/?lat=47.624573&long=-122.355398
AIRPT WAY S & S EDMUNDS ST, http://www.latlong.net/c/?lat=47.559790&long=-122.323268
S Sammamish P&R AcRd & 228th Ave SE, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
SE 263RD ST & 144TH AVE SE, http://www.latlong.net/c/?lat=47.672635&long=-122.147710
5TH AVE NE & NE 125TH ST, http://www.latlong.net/c/?lat=47.719493&long=-122.323588
NE 65TH ST & 49TH AVE NE, http://www.latlong.net/c/?lat=47.675774&long=-122.275832
LOYAL AVE NW & GOLDEN GDNS DR NW, http://www.latlong.net/c/?lat=47.693625&long=-122.399317
SW 100TH ST & 41ST AVE SW, http://www.latlong.net/c/?lat=47.513765&long=-122.384606
S OTHELLO ST & 42ND AVE S, http://www.latlong.net/c/?lat=47.536995&long=-122.280472
SE 37TH ST & I-90, http://www.latlong.net/c/?lat=47.576964&long=-122.219089
116TH AVE NE & NE 34TH ST, http://www.latlong.net/c/?lat=47.640683&long=-122.185572
ALKI AVE SW & 1000 BLK, http://www.latlong.net/c/?lat=47.595009&long=-122.387665
SE 264TH ST & 174TH AVE SE, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
MARINE VIEW DR S & S 242ND ST, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
SE REDMOND FALL CITY & 337TH PL SE, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
SW 356TH ST & 14TH AVE SW, http://www.latlong.net/c/?lat=47.506652&long=-122.352440
NE 203RD PL & NE 201ST PL, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
108TH AVE SE & SE 186TH ST, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
TUKWILA INTL BLVD & S 144TH ST, http://www.latlong.net/c/?lat=47.474226&long=-122.284222
SE 436TH ST & 228TH AVE SE, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
S JACKSON ST & 2ND AVE S, http://www.latlong.net/c/?lat=47.599202&long=-122.331575
S CARR RD & SMITHERS AVE S, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
120TH AVE NE & NE 85TH ST, http://www.latlong.net/c/?lat=47.679301&long=-122.180569
DES MOINES MEMORI DR & S 138TH ST, http://www.latlong.net/c/?lat=47.479590&long=-122.314399
SAND PT WAY NE & NE 106TH ST, http://www.latlong.net/c/?lat=47.705072&long=-122.278305
SE 70TH PL & 92ND AVE SE, http://www.latlong.net/c/?lat=47.540596&long=-122.216287
NW 200TH ST & 2ND AVE NW, http://www.latlong.net/c/?lat=47.774152&long=-122.359346
8TH AVE S & S SOUTHERN ST, http://www.latlong.net/c/?lat=47.529823&long=-122.322852
5TH AVE N & MERCER ST, http://www.latlong.net/c/?lat=47.624569&long=-122.347623
NE 132ND ST & 108TH AVE NE, http://www.latlong.net/c/?lat=47.702208&long=-122.197300
DES MOINES MEMORI DR & S 132ND ST, http://www.latlong.net/c/?lat=47.484969&long=-122.313384
78TH AVE SE & SE 40TH ST, http://www.latlong.net/c/?lat=47.574577&long=-122.235018
RENTON MAPLE VALL RD & CEDAR GROVE RD SE, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
E ALOHA ST & BROADWAY E, http://www.latlong.net/c/?lat=47.626841&long=-122.321294
NE 36TH ST & 150TH AVE NE, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
CONDON WAY W & W CROCKETT ST, http://www.latlong.net/c/?lat=47.637768&long=-122.395586
MERIDIAN AVE N & ROOSEVELT WAY N, http://www.latlong.net/c/?lat=47.728663&long=-122.334212
28TH AVE W & W BERTONA ST, http://www.latlong.net/c/?lat=47.650417&long=-122.392894
104TH AVE SE & SE 27TH ST, http://www.latlong.net/c/?lat=47.512388&long=-122.297618
9TH AVE & CHERRY ST, http://www.latlong.net/c/?lat=47.606271&long=-122.325403
NE 128TH ST & 120TH AVE NE, http://www.latlong.net/c/?lat=47.718412&long=-122.307857
34TH AVE W & W EMERSON ST, http://www.latlong.net/c/?lat=47.654055&long=-122.400886
LK YOUNGS WAY SE & KIRKLAND CT SE, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
NE 50TH ST & 19TH AVE NE, http://www.latlong.net/c/?lat=47.664866&long=-122.307179
E YESLER WAY & 22ND AVE S, http://www.latlong.net/c/?lat=47.601667&long=-122.303741
SE 240TH ST & 112TH AVE SE, http://www.latlong.net/c/?lat=47.595819&long=-122.194156
BELLEVUE WAY NE & MAIN ST, http://www.latlong.net/c/?lat=47.600006&long=-122.310618
WILLOWS RD NE & NE 124TH ST, http://www.latlong.net/c/?lat=47.717936&long=-122.307227
32ND AVE NW & NW 62ND ST, http://www.latlong.net/c/?lat=47.673898&long=-122.398358
DEXTER AVE N & 4TH AVE N, http://www.latlong.net/c/?lat=47.646135&long=-122.349698
S 348TH ST & 6TH AVE S, http://www.latlong.net/c/?lat=47.553117&long=-122.327343
FACTORIA BLVD SE & SE 42ND ST, http://www.latlong.net/c/?lat=47.570993&long=-122.225583
EAST MONTLAKE PL E & E ROANOKE ST, http://www.latlong.net/c/?lat=47.643097&long=-122.302849
1ST AVE S & S 168TH ST, http://www.latlong.net/c/?lat=47.452429&long=-122.333916
AIRPT WAY S & CORSON AVE S, http://www.latlong.net/c/?lat=47.552021&long=-122.319671
19TH AVE E & E JOHN ST, http://www.latlong.net/c/?lat=47.619672&long=-122.307364
108TH AVE SE & SE 220TH PL, http://www.latlong.net/c/?lat=47.606209&long=-122.332071
